,aruco_IDs,aruco_Corners,Timestamps
188,[[4]],"(array([[[893., 767.],
        [989., 770.],
        [984., 864.],
        [889., 863.]]], dtype=float32),)",7533
189,[[4]],"(array([[[894., 772.],
        [990., 774.],
        [985., 869.],
        [890., 868.]]], dtype=float32),)",7573
190,[[4]],"(array([[[894., 777.],
        [990., 779.],
        [984., 875.],
        [890., 874.]]], dtype=float32),)",7614
191,[[4]],"(array([[[892., 784.],
        [989., 786.],
        [984., 882.],
        [889., 881.]]], dtype=float32),)",7654
192,[[4]],"(array([[[892., 790.],
        [988., 793.],
        [982., 889.],
        [887., 887.]]], dtype=float32),)",7694
193,[[4]],"(array([[[891., 791.],
        [987., 793.],
        [982., 889.],
        [887., 888.]]], dtype=float32),)",7734
194,[[4]],"(array([[[891., 792.],
        [988., 793.],
        [984., 889.],
        [888., 888.]]], dtype=float32),)",7774
195,[[4]],"(array([[[893., 789.],
        [989., 791.],
        [985., 887.],
        [889., 886.]]], dtype=float32),)",7814
196,[[4]],"(array([[[893., 790.],
        [990., 792.],
        [985., 887.],
        [889., 886.]]], dtype=float32),)",7854
197,[[4]],"(array([[[892., 793.],
        [989., 795.],
        [984., 891.],
        [889., 890.]]], dtype=float32),)",7894
198,[[4]],"(array([[[892., 790.],
        [989., 792.],
        [984., 887.],
        [889., 886.]]], dtype=float32),)",7934
199,[[4]],"(array([[[894., 785.],
        [990., 787.],
        [985., 881.],
        [890., 881.]]], dtype=float32),)",7974
200,[[4]],"(array([[[895., 778.],
        [991., 780.],
        [985., 875.],
        [891., 873.]]], dtype=float32),)",8014
201,[[4]],"(array([[[895., 770.],
        [991., 772.],
        [985., 867.],
        [891., 865.]]], dtype=float32),)",8054
202,[[4]],"(array([[[893., 765.],
        [989., 767.],
        [984., 862.],
        [889., 860.]]], dtype=float32),)",8094
203,[[4]],"(array([[[891., 765.],
        [987., 767.],
        [982., 862.],
        [887., 861.]]], dtype=float32),)",8134
204,[[4]],"(array([[[890., 769.],
        [987., 771.],
        [982., 865.],
        [887., 864.]]], dtype=float32),)",8174
205,[[4]],"(array([[[891., 770.],
        [988., 772.],
        [982., 867.],
        [888., 866.]]], dtype=float32),)",8214
206,[[4]],"(array([[[892., 770.],
        [989., 772.],
        [984., 867.],
        [889., 865.]]], dtype=float32),)",8254
207,[[4]],"(array([[[892., 769.],
        [989., 771.],
        [984., 865.],
        [889., 864.]]], dtype=float32),)",8295
208,[[4]],"(array([[[891., 766.],
        [987., 769.],
        [982., 863.],
        [887., 862.]]], dtype=float32),)",8335
209,[[4]],"(array([[[888., 764.],
        [985., 766.],
        [980., 859.],
        [885., 859.]]], dtype=float32),)",8375
210,[[4]],"(array([[[887., 761.],
        [984., 764.],
        [979., 857.],
        [884., 856.]]], dtype=float32),)",8415
211,[[4]],"(array([[[887., 759.],
        [983., 762.],
        [977., 856.],
        [883., 855.]]], dtype=float32),)",8455
212,[[4]],"(array([[[887., 758.],
        [983., 761.],
        [978., 854.],
        [883., 854.]]], dtype=float32),)",8495
213,[[4]],"(array([[[887., 758.],
        [983., 759.],
        [978., 854.],
        [883., 852.]]], dtype=float32),)",8535
214,[[4]],"(array([[[887., 757.],
        [983., 759.],
        [978., 853.],
        [884., 852.]]], dtype=float32),)",8575
215,[[4]],"(array([[[886., 757.],
        [982., 759.],
        [977., 853.],
        [882., 852.]]], dtype=float32),)",8615
216,[[4]],"(array([[[881., 759.],
        [977., 761.],
        [972., 855.],
        [877., 854.]]], dtype=float32),)",8655
217,[[4]],"(array([[[874., 761.],
        [970., 763.],
        [965., 857.],
        [869., 856.]]], dtype=float32),)",8695
218,[[4]],"(array([[[876., 762.],
        [972., 764.],
        [970., 858.],
        [872., 856.]]], dtype=float32),)",8736
219,[[4]],"(array([[[898., 764.],
        [997., 767.],
        [992., 860.],
        [894., 857.]]], dtype=float32),)",8776
