x_A x_P y_A y_P d_A d_P FaceP_A FaceA_P
516.5 513.0 401.5 338.0 654.1976016458214 614.3394992072037 0.0 0.0
521.5 513.0 399.25 338.5 656.7869699639431 614.6147784033906 0.0 0.0
526.5 513.0 390.5 337.0 655.5248444339757 613.7898830670194 0.0 0.0
544.0 511.5 397.0 335.0 673.4575253395135 611.4386893480607 0.0 0.0
557.75 511.5 410.5 335.0 692.5307153776732 611.4386893480607 0.0 0.0
556.25 511.0 402.5 334.5 686.6058135139212 610.7464865874557 0.0 0.0
551.0 509.5 387.5 332.5 673.6353427447289 608.396807461571 0.0 0.0
548.5 508.0 376.75 332.0 665.4302235239654 606.8673833936452 0.0 0.0
551.25 508.0 374.0 331.5 666.1503869568587 606.5939745826693 0.0 0.0
552.0 507.0 369.25 331.5 664.1190985720937 605.7568199124976 0.0 0.0
551.5 506.0 368.25 332.0 663.1450770200971 605.1943280995492 0.0 0.0
551.5 506.0 377.25 333.5 668.2008204623658 606.0183578077483 0.0 0.0
553.25 506.0 389.0 335.0 676.3221831983458 606.8452634850668 0.0 0.0
555.0 506.0 393.75 335.0 680.4881977491922 606.8455158846402 0.0 0.0
586.5 505.5 389.5 335.125 704.2315181632623 606.4973604070261 0.0 0.0
606.5 504.25 386.0 334.75 718.9146834436817 605.248403468991 0.0 0.0
608.5 503.75 386.5 334.75 720.8706541398394 604.8319974343317 0.0 0.0
609.5 503.75 382.5 334.75 719.5809053616897 604.8319974343317 0.0 0.0
609.0 504.0 376.5 338.5 715.9842392612836 607.1234957907075 0.0 0.0
581.0 503.0 370.5 342.0 689.0930196888476 608.2541992987301 0.0 0.0
566.5 502.0 354.0 346.0 668.0108006560505 609.6885840206728 0.0 0.0
567.5 502.25 346.0 344.75 664.659499292683 609.1860382327716 0.0 0.0
567.5 502.5 341.0 345.5 662.070565484268 609.8169149437008 0.0 0.0
567.5 503.5 345.5 347.0 664.3997080735726 611.4910056574831 0.0 0.0
536.0 503.75 355.0 346.0 642.9010065387092 611.13016824067 0.0 0.0
531.0 504.5 360.0 346.0 641.5311592600785 611.7485839571534 0.0 0.0
528.0 505.0 365.5 346.0 642.1646790483783 612.1611874856894 0.0 0.0
526.5 506.25 374.0 346.5 645.8164713209272 613.4750355216433 0.0 0.0
526.5 506.75 369.5 346.0 643.221290984327 613.6053963033294 0.0 0.0
540.0 507.0 390.0 345.75 666.1117550261222 613.6710072672389 0.0 0.0
539.5 506.5 373.0 345.5 655.8882672732171 613.1171008763561 0.0 0.0
539.0 505.25 360.0 345.5 648.1674166448048 612.0849546622424 0.0 0.0
540.0 504.5 351.0 344.25 644.0505215067426 610.7604728076797 0.0 0.0
541.0 427.0 350.0 356.75 644.3454042669972 557.8048760035874 0.0 0.0
541.0 208.0 351.0 349.5 644.8892741703504 409.2730631848664 0.0 0.0
543.0 -161.625 362.5 105.04166666666667 652.8851454205137 192.8253614824393 0.0 0.0
543.5 -306.125 379.0 187.20833333333334 662.6004116053177 358.94253795371156 0.0 0.0
540.5 -450.625 390.5 269.375 666.8086272649341 525.0597144249839 0.0 0.0
538.5 -584.0 393.0 367.0 666.6568931016091 689.9573356053997 0.0 0.0
524.5 -636.0 374.0 364.25 644.1866311346118 733.4908006423287 0.0 1.0
524.0 -677.25 367.5 357.5 640.0254156048566 765.8331208344804 0.0 1.0
523.5 -667.25 358.0 327.0 634.2053455615983 743.6957264469881 0.0 1.0
524.5 -644.25 351.5 326.75 631.3894776751213 722.5012065561721 0.0 1.0
523.5 -650.25 356.0 327.75 633.0783916704155 728.2386857327945 0.0 1.0
525.5 -659.25 373.0 327.0 644.4224349014161 736.0173549817168 0.0 1.0
532.0 -646.75 395.0 328.75 662.6079193968459 725.5092351017055 0.0 1.0
530.5 -647.0 398.0 328.5 663.2001281391938 725.6578542510415 0.0 1.0
529.0 -648.5 393.5 328.0 659.3058820042509 726.7481477020538 0.0 1.0
524.0 -650.0 388.5 324.75 652.3108633103761 726.6161360421797 0.0 1.0
526.0 -647.5 374.5 323.5 645.7067690814947 723.8161023353105 0.0 1.0
523.0 -635.5 371.5 326.5 641.5163242107085 714.6645169814748 0.0 1.0
523.5 -598.0 375.5 355.0 644.2456829502236 695.4423776218408 0.0 1.0
524.0 -594.75 378.0 358.5 646.1115727430938 694.4884551644727 0.0 1.0
524.0 -592.75 380.5 360.5 647.5774205605085 693.7693588548577 0.0 1.0
525.0 -588.5 380.0 363.0 648.0953825266408 691.4497244572985 0.0 1.0
